MetaPirates,0xce889d9367318f824b5c43d1c547562d25445809,Binance Smart Chain (BEP20),True,N/A,N/A
Bintex Futures,N/A,N/A,N/A,N/A,N/A
MetaBUSDCoin,0xf14d3692b0055db9ca4c04065165d59b87e763f1,Binance Smart Chain (BEP20),False,12,12,PancakeSwap (V2),MBC/WBNB,0
Planet Sandbox,0x36bfBb1d5B3C9b336f3D64976599B6020cA805F1,Binance Smart Chain (BEP20),False,0,0
0xBitcoin,N/A,N/A,N/A,N/A,N/A,Uniswap (V2),Uniswap (V3),Uniswap (V3),Sushiswap(Polygon),Sushiswap(Polygon),QuickSwap,QuickSwap,Mercatox,Mercatox,YoBit,0xBTC/WETH,0,WBTC/0xBTC,0,0xBTC/WETH,0,WMATIC/0xBTC,0,USDC/0xBTC,0,0xBTC/WETH,0,0xBTC/USDC,0,0xBTC/ETH,135.0,0xBTC/BTC,6.0,0xBTC/BTC,4.0
CarsAutoFinance,0x3E0E21F8CC8F479c43B05fed9ad7beD07F0Eba02,Binance Smart Chain (BEP20),False,0,0,Fatbtc,VinDAX,CAF/USDT,0,CAF/USDT,1.0
TouchCon,N/A,N/A,N/A,N/A,N/A,Mercatox,STEX,Mercatox,BitClover (Hotbit Korea),TOC/ETH,76.0,TOC/ETH,11.0,TOC/BTC,2.1415559301,TOC/KRW,0
XIDO FINANCE,N/A,N/A,N/A,N/A,N/A
Aryacoin,0x86e5775f5c46304939c40959812bc220dd1c0333,Binance Smart Chain (BEP20),True,N/A,N/A
XenophonDAO,0x3e29633846e8b857b7f6d7f293f895186804264b,Binance Smart Chain (BEP20),False,0,0
Epanus,N/A,N/A,N/A,N/A,N/A,ProBit Global,Crex24,EPS/BTC,83.0,EPS/BTC,3.0
Metakings,0x129385c4acd0075e45a0c9a5177bdfec9678a138,Binance Smart Chain (BEP20),False,0,0,PancakeSwap (V2),PancakeSwap (V2),MTK/BUSD,0,MTK/WBNB,0
Internxt,N/A,N/A,N/A,N/A,N/A
Thaicoin,0xcFC9321e3aA3a15bbBC4C4390dA7407F3eC84145,Binance Smart Chain (BEP20),False,9,8.8
Plethori,N/A,N/A,N/A,N/A,N/A
GalaxyGoggle DAO,N/A,N/A,N/A,N/A,N/A
Earnfinex,0xe679956bb9029a6b8d915e4a47e3d2826b188e62,Binance Smart Chain (BEP20),False,0,0,VinDAX,VinDAX,EFX/BTC,0,EFX/USDT,0
Fantasy Girl,0xF530Be62FAe3F0a85D73aA35BD96D2fc5166D22C,Binance Smart Chain (BEP20),False,12,12,PancakeSwap (V2),FMEV2/WBNB,0
CFL 365 Finance,0xc1e0510a0df7646817b6632d32caa681a425a5e6,Binance Smart Chain (BEP20),False,0,0
B-cube.ai,N/A,N/A,N/A,N/A,N/A
BlackHat,N/A,N/A,N/A,N/A,N/A
Seele-N,N/A,N/A,N/A,N/A,N/A
Louverture,N/A,N/A,N/A,N/A,N/A
ESPLASH,N/A,N/A,N/A,N/A,N/A
Ballswap,N/A,N/A,N/A,N/A,N/A
Asian Fintech,0xb955b4cab9aa3b49e23aeb5204ebc5ff6678e86d,Binance Smart Chain (BEP20),False,0,0
SORA Synthetic USD,N/A,N/A,N/A,N/A,N/A
Financial Intelligence Group,0xd91e5e735eaccaa569edab1fa4f8fe2db2531a19,Binance Smart Chain (BEP20),False,0,0
Acute Angle Cloud,N/A,N/A,N/A,N/A,N/A
Meta Speed Game,0x6a0c486139213fdb9c1d4fc1c9f658d0a4e4317e,Binance Smart Chain (BEP20),False,0,0
Proxy,N/A,N/A,N/A,N/A,N/A
Chiwawa,0xc3434677ec3048df655c39a376969ecd7b726ef6,Binance Smart Chain (BEP20),False,0,0,PancakeSwap (V2),CHIWA/BUSD,0
Primecoin,N/A,N/A,N/A,N/A,N/A,SouthXchange,AEX,Bittylicious,XPM/BTC,1.0,XPM/BTC,10.0
World Token,0x31ffbe9bf84b4d9d02cd40eccab4af1e2877bbc6,Binance Smart Chain (BEP20),False,3,2.7
Egoras Credit,0xd68e5c52f7563486cc1a15d00efa12c8644a907e,Binance Smart Chain (BEP20),False,0,0
Ormeus Coin,N/A,N/A,N/A,N/A,N/A
Omnitude,N/A,N/A,N/A,N/A,N/A,BitForex,ECOM/USDT,1.0
Ruff,N/A,N/A,N/A,N/A,N/A,Huobi Global,Gate.io,Huobi Global,Huobi Global,Gate.io,Gate.io,MEXC,DigiFinex,DigiFinex,RUFF/USDT,163.0,RUFF/USDT,240.0,RUFF/ETH,3.0,RUFF/BTC,12.0,RUFF/BTC,77.0,RUFF/ETH,21.0,RUFF/BTC,18.0,RUFF/USDT,137.0,RUFF/ETH,4.0
Agrofarm,0xad759b4634bf48c982541c8db61b4581470b4974,Binance Smart Chain (BEP20),False,12,12
Nash,N/A,N/A,N/A,N/A,N/A,TOKOK,TOKOK,Switcheo Network,Switcheo Network,Demex,NEX/BTC,1.0,NEX/ETH,1.0,NEX/NEO,0.8063578279,NEX/SDUSD,0.0,nex1/usdc1,27.0
bAlpha,N/A,N/A,N/A,N/A,N/A,Hotbit,Hotbit,Hoo,Uniswap (V2),bALPHA/WETH,0,BALPHA/ETH,1.0,BALPHA/USDT,16.0,BALPHA/USDT,3.0
Tipsy,0xf380334b9a181f54bf2f32fdd3e153d259472ebb,Binance Smart Chain (BEP20),False,0,0
Uniswap Finance,0x84f17c03c31b1d1f51e94780faa02f51493940ea,Binance Smart Chain (BEP20),False,0,0
Rivex,N/A,N/A,N/A,N/A,N/A,AscendEX (Bitmax),Hotbit,RVX/USDT,15.0,RVX/USDT,7.0
Dog Collar,N/A,N/A,N/A,N/A,N/A
Bitcoin Asia,N/A,N/A,N/A,N/A,N/A,XT.COM,IndoEx,BTCA/USDT,6.0,BTCA/USDT,1.0
MicroPets,0xa77346760341460b42c230ca6d21d4c8e743fa9c,Binance Smart Chain (BEP20),False,7,7
Harvest Finance,N/A,N/A,N/A,N/A,N/A
ZEON,N/A,N/A,N/A,N/A,N/A,P2PB2B,Hotbit,Hotbit,ZEON/ETH,3.0,ZEON/USDT,38.0,ZEON/BTC,0.0
DFOhub,N/A,N/A,N/A,N/A,N/A
Wolf Game Wool,N/A,N/A,N/A,N/A,N/A
Reimagined Finance,N/A,N/A,N/A,N/A,N/A,Uniswap (V2),REFI/WETH,0
